Time,MsgL,PLC/PCReq,DType,ProVer,MeasurementGroupNumber,PLCSendDelayTime,CommonBitValue,Lot_ID,Recipe_ID,M#00_ID,M#00_BitValue#0,M#00_BitValue#1,M#00_BitValue#2,M#00_BitValue#3,M#00_Recipe_Number,M#00_PV_Number,M#00_RAW_Number,M#00_Judge_Code,M#00_TimeBlock_01,M#00_TimeBlock_02,M#00_TimeBlock_03,M#00_TimeBlock_04,M#00_CellCountNo,M#01_ID,M#01_BitValue#0,M#01_BitValue#1,M#01_BitValue#2,M#01_BitValue#3,M#01_Recipe_Number,M#01_PV_Number,M#01_RAW_Number,M#01_Judge_Code,M#01_TimeBlock_01,M#01_TimeBlock_02,M#01_TimeBlock_03,M#01_TimeBlock_04,M#01_CellCountNo,BitModeValue
00:00:28.709816,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,697,67,0,0,2,0,0,0,5,100,100,0,0,394,698,67,0,0,2,0,0,0,5,100,100,0,0,394,0
00:00:29.236963,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,699,67,0,0,2,0,0,0,5,0,0,0,0,395,700,67,0,0,2,0,0,0,5,0,0,0,0,395,0
00:00:29.770723,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,701,67,0,0,2,0,0,0,5,100,100,0,0,396,702,67,0,0,2,0,0,0,5,100,100,0,0,396,0
00:00:30.304981,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,703,67,0,0,2,0,0,0,5,100,100,0,0,397,704,67,0,0,2,0,0,0,5,100,100,0,0,397,0
00:00:30.835986,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,705,67,0,0,2,0,0,0,5,0,0,0,0,398,706,67,0,0,2,0,0,0,5,0,0,0,0,398,0
00:00:31.363413,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,707,67,0,0,2,0,0,0,5,100,100,0,0,399,709,67,0,0,2,0,0,0,5,100,100,0,0,399,0
00:00:31.901438,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,710,67,0,0,2,0,0,0,5,100,100,0,0,400,711,67,0,0,2,0,0,0,5,100,100,0,0,400,0
00:00:32.427220,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,712,67,0,0,2,0,0,0,5,0,0,0,0,401,713,67,0,0,2,0,0,0,5,0,0,0,0,401,0
00:00:32.954678,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,714,67,0,0,2,0,0,0,5,0,0,0,0,402,715,67,0,0,2,0,0,0,5,0,0,0,0,402,0
00:00:33.494390,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,716,67,0,0,2,0,0,0,5,100,100,0,0,403,717,67,0,0,2,0,0,0,5,100,100,0,0,403,0
00:00:34.024601,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,718,67,0,0,2,0,0,0,5,0,0,0,0,404,719,67,0,0,2,0,0,0,5,0,0,0,0,404,0
00:00:34.558012,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,726,67,0,0,2,0,0,0,5,0,0,0,0,405,727,67,0,0,2,0,0,0,5,0,0,0,0,405,0
00:00:35.087033,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,728,67,0,0,2,0,0,0,5,100,100,0,0,406,729,67,0,0,2,0,0,0,5,100,100,0,0,406,0
00:00:35.621543,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,730,67,0,0,2,0,0,0,5,0,0,0,0,407,731,67,0,0,2,0,0,0,5,0,0,0,0,407,0
00:00:36.154693,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,732,67,0,0,2,0,0,0,5,0,0,0,0,408,733,67,0,0,2,0,0,0,5,0,0,0,0,408,0
00:00:36.686132,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,734,67,0,0,2,0,0,0,5,100,100,0,0,409,735,67,0,0,2,0,0,0,5,100,100,0,0,409,0
00:00:37.211040,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,736,67,0,0,2,0,0,0,5,0,0,0,0,410,737,67,0,0,2,0,0,0,5,0,0,0,0,410,0
00:00:37.745836,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,738,67,0,0,2,0,0,0,5,0,0,0,0,411,739,67,0,0,2,0,0,0,5,0,0,0,0,411,0
00:00:38.286124,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,741,67,0,0,2,0,0,0,5,100,100,0,0,412,742,67,0,0,2,0,0,0,5,100,100,0,0,412,0
00:00:38.808215,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,743,67,0,0,2,0,0,0,5,100,100,0,0,413,744,67,0,0,2,0,0,0,5,100,100,0,0,413,0
00:00:39.341236,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,745,67,0,0,2,0,0,0,5,0,0,0,0,414,746,67,0,0,2,0,0,0,5,0,0,0,0,414,0
00:00:39.875021,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,747,67,0,0,2,0,0,0,5,100,100,0,0,415,748,67,0,0,2,0,0,0,5,100,100,0,0,415,0
00:00:40.407147,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,749,67,0,0,2,0,0,0,5,100,100,0,0,416,750,67,0,0,2,0,0,0,5,100,100,0,0,416,0
00:00:40.938096,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,751,67,0,0,2,0,0,0,5,0,0,0,0,417,678,67,0,0,2,0,0,0,5,0,0,0,0,417,0
00:00:41.473503,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,679,67,0,0,2,0,0,0,5,100,100,0,0,418,680,67,0,0,2,0,0,0,5,100,100,0,0,418,0
00:00:42.005285,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,681,67,0,0,2,0,0,0,5,100,100,0,0,419,682,67,0,0,2,0,0,0,5,100,100,0,0,419,0
00:00:42.530139,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,683,67,0,0,2,0,0,0,5,0,0,0,0,420,684,67,0,0,2,0,0,0,5,0,0,0,0,420,0
00:00:43.061662,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,685,67,0,0,2,0,0,0,5,100,100,0,0,421,686,67,0,0,2,0,0,0,5,100,100,0,0,421,0
00:00:43.600664,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,687,67,0,0,2,0,0,0,5,100,100,0,0,422,695,67,0,0,2,0,0,0,5,100,100,0,0,422,0
00:00:44.131320,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,696,67,0,0,2,0,0,0,5,0,0,0,0,423,697,67,0,0,2,0,0,0,5,0,0,0,0,423,0
00:00:44.664609,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,698,67,0,0,2,0,0,0,5,0,100,0,0,424,699,67,0,0,2,0,0,0,5,0,100,0,0,424,0
00:00:45.189466,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,700,67,0,0,2,0,0,0,5,100,100,0,0,425,701,67,0,0,2,0,0,0,5,100,100,0,0,425,0
00:00:45.723416,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,702,67,0,0,2,0,0,0,5,0,0,0,0,426,703,67,0,0,2,0,0,0,5,0,0,0,0,426,0
00:00:46.254067,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,704,67,0,0,2,0,0,0,5,0,0,0,0,427,705,67,0,0,2,0,0,0,5,0,0,0,0,427,0
00:00:46.788499,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,706,67,0,0,2,0,0,0,5,100,100,0,0,428,707,67,0,0,2,0,0,0,5,100,100,0,0,428,0
00:00:47.319296,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,708,67,0,0,2,0,0,0,5,0,0,0,0,429,710,67,0,0,2,0,0,0,5,0,0,0,0,429,0
00:00:47.852883,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,711,67,0,0,2,0,0,0,5,0,0,0,0,430,712,67,0,0,2,0,0,0,5,0,0,0,0,430,0
00:00:48.378660,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,713,67,0,0,2,0,0,0,5,100,100,0,0,431,714,67,0,0,2,0,0,0,5,100,100,0,0,431,0
00:00:48.915582,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,715,67,0,0,2,0,0,0,5,0,0,0,0,432,716,67,0,0,2,0,0,0,5,0,0,0,0,432,0
00:00:49.444150,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,717,67,0,0,2,0,0,0,5,0,0,0,0,433,718,67,0,0,2,0,0,0,5,0,0,0,0,433,0
00:00:49.980493,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,719,67,0,0,2,0,0,0,5,100,100,0,0,434,720,67,0,0,2,0,0,0,5,100,100,0,0,434,0
00:00:50.509192,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,727,67,0,0,2,0,0,0,5,100,100,0,0,435,728,67,0,0,2,0,0,0,5,100,100,0,0,435,0
00:00:51.044128,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,729,67,0,0,2,0,0,0,5,0,0,0,0,436,730,67,0,0,2,0,0,0,5,0,0,0,0,436,0
00:00:51.579043,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,731,67,0,0,2,0,0,0,5,100,100,0,0,437,732,67,0,0,2,0,0,0,5,100,100,0,0,437,0
00:00:52.107386,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,733,67,0,0,2,0,0,0,5,100,100,0,0,438,734,67,0,0,2,0,0,0,5,100,100,0,0,438,0
00:00:52.635556,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,735,67,0,0,2,0,0,0,5,0,0,0,0,439,736,67,0,0,2,0,0,0,5,0,0,0,0,439,0
00:00:53.171377,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,737,67,0,0,2,0,0,0,5,100,100,0,0,440,738,67,0,0,2,0,0,0,5,100,100,0,0,440,0
00:00:53.703061,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,739,67,0,0,2,0,0,0,5,100,100,0,0,441,740,67,0,0,2,0,0,0,5,100,100,0,0,441,0
00:00:54.241713,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,742,67,0,0,2,0,0,0,5,0,0,0,0,442,743,67,0,0,2,0,0,0,5,0,0,0,0,442,0
00:00:54.763433,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,744,67,0,0,2,0,0,0,5,100,100,0,0,443,745,67,0,0,2,0,0,0,5,100,100,0,0,443,0
